,Time,Yaw Rate,Acceleration Y,Yaw Angular Acceleration,Acceleration X
297,1.67304,0.13,-0.0247156,-1.75,-0.0735098
298,1.678045,0.145,-0.0245882,0.625,-0.0742742
299,1.68305,0.16,-0.0244608,2.875,-0.0746564
300,1.688195,0.17500000000000002,-0.023823800000000003,3.375,-0.07503860000000001
301,1.69304,0.19,-0.0230594,2.875,-0.0747838
302,1.698045,0.195,-0.022040200000000003,1.75,-0.0744016
303,1.70304,0.195,-0.021021,0.625,-0.0736372
304,1.708145,0.19,-0.0202566,-0.625,-0.072618
305,1.71315,0.17500000000000002,-0.0200018,-1.75,-0.0715988
306,1.71805,0.165,-0.0200018,-2.25,-0.0705796
307,1.723045,0.155,-0.0201292,-2.25,-0.0703248
308,1.728145,0.145,-0.0202566,-2.25,-0.0704522
309,1.73304,0.13,-0.020638800000000002,-2.25,-0.0712166
310,1.738045,0.13,-0.0214032,-1.125,-0.071981
311,1.74305,0.15,-0.022295000000000002,1.75,-0.0724906
312,1.748145,0.165,-0.0234416,3.375,-0.072618
313,1.75304,0.19,-0.024206000000000002,4.0,-0.0724906
314,1.75805,0.21,-0.0245882,4.625,-0.0724906
315,1.76304,0.23,-0.0245882,4.0,-0.0724906
316,1.76815,0.23500000000000001,-0.0244608,2.25,-0.0724906
317,1.773055,0.23500000000000001,-0.0243334,0.625,-0.0722358
318,1.778045,0.225,-0.023951200000000002,-1.125,-0.0721084
319,1.783045,0.2,-0.023696400000000003,-3.375,-0.0718536
320,1.78815,0.16,-0.023569,-6.25,-0.0717262
321,1.793045,0.12,-0.0234416,-8.0,-0.071981
322,1.79805,0.09,-0.0234416,-6.875,-0.0727454
323,1.80305,0.08,-0.0231868,-4.0,-0.073892
324,1.80815,0.085,-0.0230594,-0.625,-0.07516600000000001
325,1.813045,0.095,-0.022932,1.75,-0.07593040000000001
326,1.818155,0.11,-0.022549800000000002,2.25,-0.07605780000000001
327,1.823045,0.13,-0.022167600000000003,3.375,-0.07567560000000001
328,1.82815,0.15,-0.022167600000000003,4.0,-0.07503860000000001
329,1.833055,0.165,-0.022167600000000003,3.375,-0.0742742
330,1.838045,0.185,-0.022295000000000002,3.375,-0.0737646
331,1.843045,0.2,-0.022549800000000002,3.375,-0.0735098
332,1.848145,0.215,-0.022549800000000002,3.375,-0.0736372
333,1.853045,0.23500000000000001,-0.022549800000000002,3.375,-0.0741468
334,1.85805,0.245,-0.022167600000000003,2.875,-0.0746564
335,1.863055,0.25,-0.0219128,1.75,-0.07529340000000001
336,1.86815,0.245,-0.0214032,0.0,-0.07554820000000001
337,1.873145,0.225,-0.0211484,-2.875,-0.07567560000000001
338,1.87805,0.195,-0.021021,-5.125,-0.07567560000000001
339,1.883045,0.165,-0.021021,-5.75,-0.07542080000000001
340,1.88815,0.135,-0.0214032,-5.75,-0.07529340000000001
341,1.893055,0.12,-0.0219128,-4.625,-0.0747838
342,1.89805,0.115,-0.022549800000000002,-2.25,-0.0744016
343,1.903045,0.115,-0.0230594,-0.625,-0.0741468
344,1.90815,0.12,-0.023696400000000003,0.625,-0.0736372
345,1.91304,0.13,-0.023951200000000002,1.75,-0.0730002
346,1.918125,0.13,-0.024206000000000002,1.125,-0.0722358
347,1.923155,0.12,-0.023951200000000002,-1.125,-0.0717262
348,1.928155,0.105,-0.023823800000000003,-2.875,-0.0712166
349,1.933045,0.08,-0.023569,-4.0,-0.0712166
350,1.93805,0.055,-0.0234416,-4.625,-0.0715988
351,1.943045,0.04,-0.0230594,-4.0,-0.071981
352,1.94815,0.03,-0.0230594,-2.875,-0.0722358
353,1.953055,0.025,-0.022932,-1.75,-0.0724906
354,1.95805,0.035,-0.0228046,0.625,-0.072618
355,1.963045,0.05,-0.022549800000000002,2.875,-0.0728728
356,1.96815,0.075,-0.022040200000000003,4.0,-0.0730002
357,1.973045,0.105,-0.0214032,5.125,-0.0731276
358,1.97805,0.125,-0.020638800000000002,5.125,-0.0731276
359,1.983055,0.135,-0.0201292,3.375,-0.0728728
360,1.988185,0.135,-0.0196196,1.125,-0.0727454
361,1.99305,0.135,-0.0196196,0.0,-0.0724906
362,1.99805,0.135,-0.019747,0.0,-0.071981
363,2.003045,0.13,-0.0201292,-0.625,-0.0715988
364,2.00815,0.135,-0.020511400000000003,0.0,-0.0712166
365,2.013055,0.145,-0.021021,1.125,-0.0710892
366,2.01805,0.15,-0.0214032,1.125,-0.0712166
367,2.02305,0.155,-0.0217854,1.125,-0.0717262
368,2.02827,0.165,-0.0219128,1.75,-0.0722358
369,2.033045,0.185,-0.0219128,2.875,-0.0728728
370,2.03805,0.195,-0.022040200000000003,2.875,-0.0735098
371,2.043055,0.20500000000000002,-0.022167600000000003,2.25,-0.0741468
372,2.048155,0.21,-0.022167600000000003,1.75,-0.0746564
373,2.05305,0.21,-0.022295000000000002,0.625,-0.07529340000000001
374,2.058055,0.20500000000000002,-0.022295000000000002,-0.625,-0.07554820000000001
375,2.063045,0.2,-0.022167600000000003,-1.125,-0.07554820000000001
376,2.068155,0.19,-0.0217854,-1.75,-0.07529340000000001
377,2.073055,0.17500000000000002,-0.0211484,-2.25,-0.0747838
378,2.078145,0.17,-0.020511400000000003,-1.75,-0.0744016
379,2.08305,0.165,-0.0201292,-1.125,-0.0736372
380,2.08815,0.155,-0.0200018,-1.75,-0.0730002
381,2.093045,0.145,-0.0201292,-2.25,-0.0724906
382,2.09805,0.125,-0.020638800000000002,-2.875,-0.071981
383,2.103055,0.12,-0.0212758,-2.25,-0.0721084
384,2.108195,0.115,-0.0214032,-1.125,-0.0724906
385,2.11305,0.115,-0.0211484,-0.625,-0.0728728
386,2.11805,0.12,-0.0202566,0.625,-0.0731276
387,2.123125,0.125,-0.0192374,1.125,-0.0733824
388,2.128155,0.13,-0.0183456,1.125,-0.0733824
389,2.13316,0.135,-0.017836,1.125,-0.0733824
390,2.13805,0.145,-0.0180908,1.125,-0.0731276
391,2.14305,0.15,-0.018855200000000003,1.125,-0.0730002
392,2.148195,0.15,-0.0200018,0.625,-0.0728728
393,2.153045,0.145,-0.0211484,-0.625,-0.072618
394,2.158055,0.135,-0.022167600000000003,-1.125,-0.0722358
395,2.16306,0.125,-0.022932,-1.75,-0.0718536
396,2.16815,0.11,-0.0231868,-2.875,-0.0717262
397,2.17305,0.09,-0.0230594,-3.375,-0.0717262
398,2.178055,0.08,-0.022932,-2.875,-0.0715988
399,2.18305,0.075,-0.0228046,-1.75,-0.0712166
400,2.188145,0.085,-0.0228046,0.625,-0.0708344
401,2.19306,0.105,-0.0230594,2.875,-0.0703248
402,2.198055,0.12,-0.0234416,3.375,-0.07007000000000001
403,2.20305,0.125,-0.023569,2.25,-0.07019740000000001
404,2.20815,0.13,-0.023569,1.125,-0.0704522
405,2.213065,0.135,-0.023569,1.125,-0.0709618
406,2.218055,0.135,-0.0231868,0.625,-0.071344
407,2.22306,0.135,-0.0228046,0.0,-0.0717262
408,2.22815,0.125,-0.022167600000000003,-1.125,-0.0718536
409,2.23305,0.12,-0.0217854,-1.75,-0.071981
410,2.23816,0.115,-0.021658,-1.125,-0.0722358
411,2.24305,0.115,-0.0219128,-0.625,-0.0728728
412,2.248155,0.115,-0.022167600000000003,0.0,-0.0735098
413,2.25306,0.12,-0.0226772,0.625,-0.0742742
414,2.258055,0.125,-0.022932,1.125,-0.0746564
415,2.26305,0.145,-0.0230594,2.25,-0.0746564
416,2.26815,0.16,-0.022932,3.375,-0.0744016
417,2.27305,0.17500000000000002,-0.022549800000000002,3.375,-0.0741468
418,2.278055,0.195,-0.022040200000000003,3.375,-0.073892
419,2.28314,0.2,-0.021658,2.25,-0.0741468
420,2.28815,0.20500000000000002,-0.0212758,1.125,-0.074529
421,2.29305,0.195,-0.021021,-0.625,-0.07503860000000001
422,2.298055,0.185,-0.021021,-2.25,-0.07529340000000001
423,2.30305,0.17,-0.021021,-2.25,-0.07516600000000001
424,2.30815,0.16,-0.021021,-2.25,-0.0746564
425,2.313065,0.16,-0.021021,-1.125,-0.0741468
426,2.318055,0.16,-0.020893600000000002,0.0,-0.0733824
427,2.323145,0.165,-0.020511400000000003,0.625,-0.0728728
428,2.328265,0.17,-0.020384,1.125,-0.0724906
429,2.33305,0.165,-0.0201292,0.0,-0.0722358
430,2.338055,0.16,-0.0200018,-1.125,-0.0722358
431,2.34315,0.15,-0.019747,-1.75,-0.0722358
432,2.34815,0.135,-0.0201292,-2.25,-0.0722358
433,2.353075,0.125,-0.020638800000000002,-2.25,-0.071981
434,2.35806,0.115,-0.0212758,-2.25,-0.0715988
435,2.363055,0.12,-0.022040200000000003,-0.625,-0.0710892
436,2.36815,0.13,-0.0228046,1.75,-0.0708344
437,2.37306,0.145,-0.023569,2.25,-0.0710892
438,2.37806,0.155,-0.0243334,2.25,-0.0715988
439,2.38312,0.16,-0.0247156,1.75,-0.0724906
440,2.38815,0.155,-0.0245882,0.0,-0.0731276
441,2.393055,0.13,-0.024206000000000002,-2.875,-0.073892
442,2.398055,0.105,-0.023569,-5.125,-0.0744016
443,2.403065,0.08,-0.0230594,-5.125,-0.0744016
444,2.408145,0.055,-0.0228046,-4.625,-0.0741468
445,2.41306,0.045,-0.0226772,-3.375,-0.0735098
446,2.41806,0.045,-0.0228046,-1.125,-0.072618
447,2.423055,0.055,-0.022932,1.125,-0.0718536
448,2.428155,0.075,-0.0230594,2.875,-0.071344
449,2.43306,0.09,-0.0230594,3.375,-0.071344
